HALL CONDUCTANCE COEFFICIENTS
From RIDLEY ET AL (2004)

#DIMENSIONS
24	nMlt
16	nLat

Lat	MLT	A0_up	A0_do	A1_up	A1_do	A2_up	A2_do

#START
84.0    21.0    3.59    4.69    15.39   2.55    0.00    0.00    
84.0    22.0    3.65    4.69    16.84   2.84    0.00    0.00    
84.0    23.0    3.84    4.80    17.97   3.02    0.00    0.00    
82.0    0.0     4.15    5.03    18.69   3.09    0.00    0.00    
82.0    1.0     4.55    5.36    18.97   3.03    0.00    0.00    
82.0    2.0     5.01    5.76    18.77   2.85    0.00    0.00    
82.0    3.0     5.51    6.20    18.12   2.57    0.00    0.00    
82.0    4.0     6.01    6.66    17.06   2.20    0.00    0.00    
82.0    5.0     6.48    7.11    15.66   1.76    0.00    0.00    
82.0    6.0     6.88    7.51    14.02   1.29    0.00    0.00    
82.0    7.0     7.18    7.83    12.24   0.83    0.00    0.00    
82.0    8.0     7.38    8.06    10.46   0.39    0.00    0.00    
82.0    9.0     7.44    8.18    8.79    0.01    0.00    0.00    
82.0    10.0    7.38    8.18    7.34    0.00    0.00    0.00    
82.0    11.0    7.18    8.07    6.21    0.00    0.00    0.00    
82.0    12.0    6.88    7.84    5.49    0.00    0.00    0.00    
82.0    13.0    6.48    7.51    5.21    0.00    0.00    0.00    
82.0    14.0    6.01    7.11    5.40    0.00    0.00    0.00    
82.0    15.0    5.51    6.67    6.05    0.00    0.00    0.00    
82.0    16.0    5.02    6.21    7.11    0.36    0.00    0.00    
82.0    17.0    4.55    5.76    8.51    0.80    0.00    0.00    
82.0    18.0    4.15    5.36    10.16   1.26    0.00    0.00    
82.0    19.0    3.84    5.04    11.93   1.73    0.00    0.00    
82.0    20.0    3.65    4.81    13.72   2.17    0.00    0.00    
82.0    21.0    3.59    4.69    15.39   2.55    0.00    0.00    
82.0    22.0    3.65    4.69    16.84   2.84    0.00    0.00    
82.0    23.0    3.84    4.80    17.97   3.02    0.00    0.00    
80.0    0.0     4.15    5.03    18.69   3.09    0.00    0.00    
80.0    1.0     4.55    5.36    18.97   3.03    0.00    0.00    
80.0    2.0     5.01    5.76    18.77   2.85    0.00    0.00    
80.0    3.0     5.51    6.20    18.12   2.57    0.00    0.00    
80.0    4.0     6.01    6.66    17.06   2.20    0.00    0.00    
80.0    5.0     6.48    7.11    15.66   1.76    0.00    0.00    
80.0    6.0     6.88    7.51    14.02   1.29    0.00    0.00    
80.0    7.0     7.18    7.83    12.24   0.83    0.00    0.00    
80.0    8.0     7.38    8.06    10.46   0.39    0.00    0.00    
80.0    9.0     7.44    8.18    8.79    0.01    0.00    0.00    
80.0    10.0    7.38    8.18    7.34    0.00    0.00    0.00    
80.0    11.0    7.18    8.07    6.21    0.00    0.00    0.00    
80.0    12.0    6.88    7.84    5.49    0.00    0.00    0.00    
80.0    13.0    6.48    7.51    5.21    0.00    0.00    0.00    
80.0    14.0    6.01    7.11    5.40    0.00    0.00    0.00    
80.0    15.0    5.51    6.67    6.05    0.00    0.00    0.00    
80.0    16.0    5.02    6.21    7.11    0.36    0.00    0.00    
80.0    17.0    4.55    5.76    8.51    0.80    0.00    0.00    
80.0    18.0    4.15    5.36    10.16   1.26    0.00    0.00    
80.0    19.0    3.84    5.04    11.93   1.73    0.00    0.00    
80.0    20.0    3.65    4.81    13.72   2.17    0.00    0.00    
80.0    21.0    3.59    4.69    15.39   2.55    0.00    0.00    
80.0    22.0    3.65    4.69    16.84   2.84    0.00    0.00    
80.0    23.0    3.84    4.80    17.97   3.02    0.00    0.00    
78.0    0.0     4.15    5.03    18.69   3.09    0.00    0.00    
78.0    1.0     4.55    5.36    18.97   3.03    0.00    0.00    
78.0    2.0     5.01    5.76    18.77   2.85    0.00    0.00    
78.0    3.0     5.51    6.20    18.12   2.57    0.00    0.00    
78.0    4.0     6.01    6.66    17.06   2.20    0.00    0.00    
78.0    5.0     6.48    7.11    15.66   1.76    0.00    0.00    
78.0    6.0     6.88    7.51    14.02   1.29    0.00    0.00    
78.0    7.0     7.18    7.83    12.24   0.83    0.00    0.00    
78.0    8.0     7.38    8.06    10.46   0.39    0.00    0.00    
78.0    9.0     7.44    8.18    8.79    0.01    0.00    0.00    
78.0    10.0    7.38    8.18    7.34    0.00    0.00    0.00    
78.0    11.0    7.18    8.07    6.21    0.00    0.00    0.00    
78.0    12.0    6.88    7.84    5.49    0.00    0.00    0.00    
78.0    13.0    6.48    7.51    5.21    0.00    0.00    0.00    
78.0    14.0    6.01    7.11    5.40    0.00    0.00    0.00    
78.0    15.0    5.51    6.67    6.05    0.00    0.00    0.00    
78.0    16.0    5.02    6.21    7.11    0.36    0.00    0.00    
78.0    17.0    4.55    5.76    8.51    0.80    0.00    0.00    
78.0    18.0    4.15    5.36    10.16   1.26    0.00    0.00    
78.0    19.0    3.84    5.04    11.93   1.73    0.00    0.00    
78.0    20.0    3.65    4.81    13.72   2.17    0.00    0.00    
78.0    21.0    3.59    4.69    15.39   2.55    0.00    0.00    
78.0    22.0    3.65    4.69    16.84   2.84    0.00    0.00    
78.0    23.0    3.84    4.80    17.97   3.02    0.00    0.00    
76.0    0.0     4.15    5.03    18.69   3.09    0.00    0.00    
76.0    1.0     4.55    5.36    18.97   3.03    0.00    0.00    
76.0    2.0     5.01    5.76    18.77   2.85    0.00    0.00    
76.0    3.0     5.51    6.20    18.12   2.57    0.00    0.00    
76.0    4.0     6.01    6.66    17.06   2.20    0.00    0.00    
76.0    5.0     6.48    7.11    15.66   1.76    0.00    0.00    
76.0    6.0     6.88    7.51    14.02   1.29    0.00    0.00    
76.0    7.0     7.18    7.83    12.24   0.83    0.00    0.00    
76.0    8.0     7.38    8.06    10.46   0.39    0.00    0.00    
76.0    9.0     7.44    8.18    8.79    0.01    0.00    0.00    
76.0    10.0    7.38    8.18    7.34    0.00    0.00    0.00    
76.0    11.0    7.18    8.07    6.21    0.00    0.00    0.00    
76.0    12.0    6.88    7.84    5.49    0.00    0.00    0.00    
76.0    13.0    6.48    7.51    5.21    0.00    0.00    0.00    
76.0    14.0    6.01    7.11    5.40    0.00    0.00    0.00    
76.0    15.0    5.51    6.67    6.05    0.00    0.00    0.00    
76.0    16.0    5.02    6.21    7.11    0.36    0.00    0.00    
76.0    17.0    4.55    5.76    8.51    0.80    0.00    0.00    
76.0    18.0    4.15    5.36    10.16   1.26    0.00    0.00    
76.0    19.0    3.84    5.04    11.93   1.73    0.00    0.00    
76.0    20.0    3.65    4.81    13.72   2.17    0.00    0.00    
76.0    21.0    3.59    4.69    15.39   2.55    0.00    0.00    
76.0    22.0    3.65    4.69    16.84   2.84    0.00    0.00    
76.0    23.0    3.84    4.80    17.97   3.02    0.00    0.00    
74.0    0.0     4.15    5.03    18.69   3.09    0.00    0.00    
74.0    1.0     4.55    5.36    18.97   3.03    0.00    0.00    
74.0    2.0     5.01    5.76    18.77   2.85    0.00    0.00    
74.0    3.0     5.51    6.20    18.12   2.57    0.00    0.00    
74.0    4.0     6.01    6.66    17.06   2.20    0.00    0.00    
74.0    5.0     6.48    7.11    15.66   1.76    0.00    0.00    
74.0    6.0     6.88    7.51    14.02   1.29    0.00    0.00    
74.0    7.0     7.18    7.83    12.24   0.83    0.00    0.00    
74.0    8.0     7.38    8.06    10.46   0.39    0.00    0.00    
74.0    9.0     7.44    8.18    8.79    0.01    0.00    0.00    
74.0    10.0    7.38    8.18    7.34    0.00    0.00    0.00    
74.0    11.0    7.18    8.07    6.21    0.00    0.00    0.00    
74.0    12.0    6.88    7.84    5.49    0.00    0.00    0.00    
74.0    13.0    6.48    7.51    5.21    0.00    0.00    0.00    
74.0    14.0    6.01    7.11    5.40    0.00    0.00    0.00    
74.0    15.0    5.51    6.67    6.05    0.00    0.00    0.00    
74.0    16.0    5.02    6.21    7.11    0.36    0.00    0.00    
74.0    17.0    4.55    5.76    8.51    0.80    0.00    0.00    
74.0    18.0    4.15    5.36    10.16   1.26    0.00    0.00    
74.0    19.0    3.84    5.04    11.93   1.73    0.00    0.00    
74.0    20.0    3.65    4.81    13.72   2.17    0.00    0.00    
74.0    21.0    3.59    4.69    15.39   2.55    0.00    0.00    
74.0    22.0    3.65    4.69    16.84   2.84    0.00    0.00    
74.0    23.0    3.84    4.80    17.97   3.02    0.00    0.00    
72.0    0.0     4.15    5.03    18.69   3.09    0.00    0.00    
72.0    1.0     4.55    5.36    18.97   3.03    0.00    0.00    
72.0    2.0     5.01    5.76    18.77   2.85    0.00    0.00    
72.0    3.0     5.51    6.20    18.12   2.57    0.00    0.00    
72.0    4.0     6.01    6.66    17.06   2.20    0.00    0.00    
72.0    5.0     6.48    7.11    15.66   1.76    0.00    0.00    
72.0    6.0     6.88    7.51    14.02   1.29    0.00    0.00    
72.0    7.0     7.18    7.83    12.24   0.83    0.00    0.00    
72.0    8.0     7.38    8.06    10.46   0.39    0.00    0.00    
72.0    9.0     7.44    8.18    8.79    0.01    0.00    0.00    
72.0    10.0    7.38    8.18    7.34    0.00    0.00    0.00    
72.0    11.0    7.18    8.07    6.21    0.00    0.00    0.00    
72.0    12.0    6.88    7.84    5.49    0.00    0.00    0.00    
72.0    13.0    6.48    7.51    5.21    0.00    0.00    0.00    
72.0    14.0    6.01    7.11    5.40    0.00    0.00    0.00    
72.0    15.0    5.51    6.67    6.05    0.00    0.00    0.00    
72.0    16.0    5.02    6.21    7.11    0.36    0.00    0.00    
72.0    17.0    4.55    5.76    8.51    0.80    0.00    0.00    
72.0    18.0    4.15    5.36    10.16   1.26    0.00    0.00    
72.0    19.0    3.84    5.04    11.93   1.73    0.00    0.00    
72.0    20.0    3.65    4.81    13.72   2.17    0.00    0.00    
72.0    21.0    3.59    4.69    15.39   2.55    0.00    0.00    
72.0    22.0    3.65    4.69    16.84   2.84    0.00    0.00    
72.0    23.0    3.84    4.80    17.97   3.02    0.00    0.00    
70.0    0.0     4.15    5.03    18.69   3.09    0.00    0.00    
70.0    1.0     4.55    5.36    18.97   3.03    0.00    0.00    
70.0    2.0     5.01    5.76    18.77   2.85    0.00    0.00    
70.0    3.0     5.51    6.20    18.12   2.57    0.00    0.00    
70.0    4.0     6.01    6.66    17.06   2.20    0.00    0.00    
70.0    5.0     6.48    7.11    15.66   1.76    0.00    0.00    
70.0    6.0     6.88    7.51    14.02   1.29    0.00    0.00    
70.0    7.0     7.18    7.83    12.24   0.83    0.00    0.00    
70.0    8.0     7.38    8.06    10.46   0.39    0.00    0.00    
70.0    9.0     7.44    8.18    8.79    0.01    0.00    0.00    
70.0    10.0    7.38    8.18    7.34    0.00    0.00    0.00    
70.0    11.0    7.18    8.07    6.21    0.00    0.00    0.00    
70.0    12.0    6.88    7.84    5.49    0.00    0.00    0.00    
70.0    13.0    6.48    7.51    5.21    0.00    0.00    0.00    
70.0    14.0    6.01    7.11    5.40    0.00    0.00    0.00    
70.0    15.0    5.51    6.67    6.05    0.00    0.00    0.00    
70.0    16.0    5.02    6.21    7.11    0.36    0.00    0.00    
70.0    17.0    4.55    5.76    8.51    0.80    0.00    0.00    
70.0    18.0    4.15    5.36    10.16   1.26    0.00    0.00    
70.0    19.0    3.84    5.04    11.93   1.73    0.00    0.00    
70.0    20.0    3.65    4.81    13.72   2.17    0.00    0.00    
70.0    21.0    3.59    4.69    15.39   2.55    0.00    0.00    
70.0    22.0    3.65    4.69    16.84   2.84    0.00    0.00    
70.0    23.0    3.84    4.80    17.97   3.02    0.00    0.00    
68.0    0.0     4.15    5.03    18.69   3.09    0.00    0.00    
68.0    1.0     4.55    5.36    18.97   3.03    0.00    0.00    
68.0    2.0     5.01    5.76    18.77   2.85    0.00    0.00    
68.0    3.0     5.51    6.20    18.12   2.57    0.00    0.00    
68.0    4.0     6.01    6.66    17.06   2.20    0.00    0.00    
68.0    5.0     6.48    7.11    15.66   1.76    0.00    0.00    
68.0    6.0     6.88    7.51    14.02   1.29    0.00    0.00    
68.0    7.0     7.18    7.83    12.24   0.83    0.00    0.00    
68.0    8.0     7.38    8.06    10.46   0.39    0.00    0.00    
68.0    9.0     7.44    8.18    8.79    0.01    0.00    0.00    
68.0    10.0    7.38    8.18    7.34    0.00    0.00    0.00    
68.0    11.0    7.18    8.07    6.21    0.00    0.00    0.00    
68.0    12.0    6.88    7.84    5.49    0.00    0.00    0.00    
68.0    13.0    6.48    7.51    5.21    0.00    0.00    0.00    
68.0    14.0    6.01    7.11    5.40    0.00    0.00    0.00    
68.0    15.0    5.51    6.67    6.05    0.00    0.00    0.00    
68.0    16.0    5.02    6.21    7.11    0.36    0.00    0.00    
68.0    17.0    4.55    5.76    8.51    0.80    0.00    0.00    
68.0    18.0    4.15    5.36    10.16   1.26    0.00    0.00    
68.0    19.0    3.84    5.04    11.93   1.73    0.00    0.00    
68.0    20.0    3.65    4.81    13.72   2.17    0.00    0.00    
68.0    21.0    3.59    4.69    15.39   2.55    0.00    0.00    
68.0    22.0    3.65    4.69    16.84   2.84    0.00    0.00    
68.0    23.0    3.84    4.80    17.97   3.02    0.00    0.00    
66.0    0.0     4.15    5.03    18.69   3.09    0.00    0.00    
66.0    1.0     4.55    5.36    18.97   3.03    0.00    0.00    
66.0    2.0     5.01    5.76    18.77   2.85    0.00    0.00    
66.0    3.0     5.51    6.20    18.12   2.57    0.00    0.00    
66.0    4.0     6.01    6.66    17.06   2.20    0.00    0.00    
66.0    5.0     6.48    7.11    15.66   1.76    0.00    0.00    
66.0    6.0     6.88    7.51    14.02   1.29    0.00    0.00    
66.0    7.0     7.18    7.83    12.24   0.83    0.00    0.00    
66.0    8.0     7.38    8.06    10.46   0.39    0.00    0.00    
66.0    9.0     7.44    8.18    8.79    0.01    0.00    0.00    
66.0    10.0    7.38    8.18    7.34    0.00    0.00    0.00    
66.0    11.0    7.18    8.07    6.21    0.00    0.00    0.00    
66.0    12.0    6.88    7.84    5.49    0.00    0.00    0.00    
66.0    13.0    6.48    7.51    5.21    0.00    0.00    0.00    
66.0    14.0    6.01    7.11    5.40    0.00    0.00    0.00    
66.0    15.0    5.51    6.67    6.05    0.00    0.00    0.00    
66.0    16.0    5.02    6.21    7.11    0.36    0.00    0.00    
66.0    17.0    4.55    5.76    8.51    0.80    0.00    0.00    
66.0    18.0    4.15    5.36    10.16   1.26    0.00    0.00    
66.0    19.0    3.84    5.04    11.93   1.73    0.00    0.00    
66.0    20.0    3.65    4.81    13.72   2.17    0.00    0.00    
66.0    21.0    3.59    4.69    15.39   2.55    0.00    0.00    
66.0    22.0    3.65    4.69    16.84   2.84    0.00    0.00    
66.0    23.0    3.84    4.80    17.97   3.02    0.00    0.00    
64.0    0.0     4.15    5.03    18.69   3.09    0.00    0.00    
64.0    1.0     4.55    5.36    18.97   3.03    0.00    0.00    
64.0    2.0     5.01    5.76    18.77   2.85    0.00    0.00    
64.0    3.0     5.51    6.20    18.12   2.57    0.00    0.00    
64.0    4.0     6.01    6.66    17.06   2.20    0.00    0.00    
64.0    5.0     6.48    7.11    15.66   1.76    0.00    0.00    
64.0    6.0     6.88    7.51    14.02   1.29    0.00    0.00    
64.0    7.0     7.18    7.83    12.24   0.83    0.00    0.00    
64.0    8.0     7.38    8.06    10.46   0.39    0.00    0.00    
64.0    9.0     7.44    8.18    8.79    0.01    0.00    0.00    
64.0    10.0    7.38    8.18    7.34    0.00    0.00    0.00    
64.0    11.0    7.18    8.07    6.21    0.00    0.00    0.00    
64.0    12.0    6.88    7.84    5.49    0.00    0.00    0.00    
64.0    13.0    6.48    7.51    5.21    0.00    0.00    0.00    
64.0    14.0    6.01    7.11    5.40    0.00    0.00    0.00    
64.0    15.0    5.51    6.67    6.05    0.00    0.00    0.00    
64.0    16.0    5.02    6.21    7.11    0.36    0.00    0.00    
64.0    17.0    4.55    5.76    8.51    0.80    0.00    0.00    
64.0    18.0    4.15    5.36    10.16   1.26    0.00    0.00    
64.0    19.0    3.84    5.04    11.93   1.73    0.00    0.00    
64.0    20.0    3.65    4.81    13.72   2.17    0.00    0.00    
64.0    21.0    3.59    4.69    15.39   2.55    0.00    0.00    
64.0    22.0    3.65    4.69    16.84   2.84    0.00    0.00    
64.0    23.0    3.84    4.80    17.97   3.02    0.00    0.00    
62.0    0.0     4.15    5.03    18.69   3.09    0.00    0.00    
62.0    1.0     4.55    5.36    18.97   3.03    0.00    0.00    
62.0    2.0     5.01    5.76    18.77   2.85    0.00    0.00    
62.0    3.0     5.51    6.20    18.12   2.57    0.00    0.00    
62.0    4.0     6.01    6.66    17.06   2.20    0.00    0.00    
62.0    5.0     6.48    7.11    15.66   1.76    0.00    0.00    
62.0    6.0     6.88    7.51    14.02   1.29    0.00    0.00    
62.0    7.0     7.18    7.83    12.24   0.83    0.00    0.00    
62.0    8.0     7.38    8.06    10.46   0.39    0.00    0.00    
62.0    9.0     7.44    8.18    8.79    0.01    0.00    0.00    
62.0    10.0    7.38    8.18    7.34    0.00    0.00    0.00    
62.0    11.0    7.18    8.07    6.21    0.00    0.00    0.00    
62.0    12.0    6.88    7.84    5.49    0.00    0.00    0.00    
62.0    13.0    6.48    7.51    5.21    0.00    0.00    0.00    
62.0    14.0    6.01    7.11    5.40    0.00    0.00    0.00    
62.0    15.0    5.51    6.67    6.05    0.00    0.00    0.00    
62.0    16.0    5.02    6.21    7.11    0.36    0.00    0.00    
62.0    17.0    4.55    5.76    8.51    0.80    0.00    0.00    
62.0    18.0    4.15    5.36    10.16   1.26    0.00    0.00    
62.0    19.0    3.84    5.04    11.93   1.73    0.00    0.00    
62.0    20.0    3.65    4.81    13.72   2.17    0.00    0.00    
62.0    21.0    3.59    4.69    15.39   2.55    0.00    0.00    
62.0    22.0    3.65    4.69    16.84   2.84    0.00    0.00    
62.0    23.0    3.84    4.80    17.97   3.02    0.00    0.00    
60.0    0.0     4.15    5.03    18.69   3.09    0.00    0.00    
60.0    1.0     4.55    5.36    18.97   3.03    0.00    0.00    
60.0    2.0     5.01    5.76    18.77   2.85    0.00    0.00    
60.0    3.0     5.51    6.20    18.12   2.57    0.00    0.00    
60.0    4.0     6.01    6.66    17.06   2.20    0.00    0.00    
60.0    5.0     6.48    7.11    15.66   1.76    0.00    0.00    
60.0    6.0     6.88    7.51    14.02   1.29    0.00    0.00    
60.0    7.0     7.18    7.83    12.24   0.83    0.00    0.00    
60.0    8.0     7.38    8.06    10.46   0.39    0.00    0.00    
60.0    9.0     7.44    8.18    8.79    0.01    0.00    0.00    
60.0    10.0    7.38    8.18    7.34    0.00    0.00    0.00    
60.0    11.0    7.18    8.07    6.21    0.00    0.00    0.00    
60.0    12.0    6.88    7.84    5.49    0.00    0.00    0.00    
60.0    13.0    6.48    7.51    5.21    0.00    0.00    0.00    
60.0    14.0    6.01    7.11    5.40    0.00    0.00    0.00    
60.0    15.0    5.51    6.67    6.05    0.00    0.00    0.00    
60.0    16.0    5.02    6.21    7.11    0.36    0.00    0.00    
60.0    17.0    4.55    5.76    8.51    0.80    0.00    0.00    
60.0    18.0    4.15    5.36    10.16   1.26    0.00    0.00    
60.0    19.0    3.84    5.04    11.93   1.73    0.00    0.00    
60.0    20.0    3.65    4.81    13.72   2.17    0.00    0.00    
60.0    21.0    3.59    4.69    15.39   2.55    0.00    0.00    
60.0    22.0    3.65    4.69    16.84   2.84    0.00    0.00    
60.0    23.0    3.84    4.80    17.97   3.02    0.00    0.00    
